disk_full {'received': 24, 'accepted': 23, 'write_attempted': 23, 'durably_acknowledged': 22, 'rejected': 1, 'unresolved': 1, 'queue_pending': 0, 'queue_drained': 22, 'journal_write_attempted': 23, 'journal_durably_acknowledged': 22, 'journal_unresolved': 1, 'confirmed_byte_offset': 37175, 'confirmed_chain': 'a03cefc68cfe1662a398ed1dcb2782ad78e9a98ece2a7a9c272a2f0728759454', 'total_upstream': None, 'lost': None}
short {'received': 24, 'accepted': 23, 'write_attempted': 23, 'durably_acknowledged': 22, 'rejected': 1, 'unresolved': 1, 'queue_pending': 0, 'queue_drained': 22, 'journal_write_attempted': 23, 'journal_durably_acknowledged': 22, 'journal_unresolved': 1, 'confirmed_byte_offset': 37175, 'confirmed_chain': 'a1f04ae218c76c19e9b7ea9cc73aafc82bd0cbf0a535f0a8cb24630b3eb02b0c', 'total_upstream': None, 'lost': None}
partial {'received': 24, 'accepted': 23, 'write_attempted': 23, 'durably_acknowledged': 22, 'rejected': 1, 'unresolved': 1, 'queue_pending': 0, 'queue_drained': 22, 'journal_write_attempted': 23, 'journal_durably_acknowledged': 22, 'journal_unresolved': 1, 'confirmed_byte_offset': 37175, 'confirmed_chain': '7bd126e13ec4624adf4d5510a1ca265e31c7018de57e726c886bd27c19ae5ac4', 'total_upstream': None, 'lost': None}
flush {'received': 24, 'accepted': 23, 'write_attempted': 23, 'durably_acknowledged': 22, 'rejected': 1, 'unresolved': 1, 'queue_pending': 0, 'queue_drained': 22, 'journal_write_attempted': 23, 'journal_durably_acknowledged': 22, 'journal_unresolved': 1, 'confirmed_byte_offset': 37175, 'confirmed_chain': '90ff480f2755480cded6ca4bd8bbe757fc383b0ed28351929c5569681e7ff26a', 'total_upstream': None, 'lost': None}
fsync {'received': 24, 'accepted': 23, 'write_attempted': 23, 'durably_acknowledged': 22, 'rejected': 1, 'unresolved': 1, 'queue_pending': 0, 'queue_drained': 22, 'journal_write_attempted': 23, 'journal_durably_acknowledged': 22, 'journal_unresolved': 1, 'confirmed_byte_offset': 37175, 'confirmed_chain': '730a041c7ee574e1b012bfbf523d4e97d47edc0f697ad9ae2c96d6212afc5769', 'total_upstream': None, 'lost': None}
terminal {'received': 46, 'accepted': 46, 'write_attempted': 46, 'durably_acknowledged': 46, 'rejected': 0, 'unresolved': 0, 'queue_pending': 0, 'queue_drained': 46, 'journal_write_attempted': 47, 'journal_durably_acknowledged': 46, 'journal_unresolved': 1, 'confirmed_byte_offset': 71233, 'confirmed_chain': '1c6a97135fafe5dfba6a98173a71fe407ea90a21d4fe5862a35b3e7168cd5f49', 'total_upstream': None, 'lost': None}
export {'received': 46, 'accepted': 46, 'write_attempted': 46, 'durably_acknowledged': 46, 'rejected': 0, 'unresolved': 0, 'queue_pending': 0, 'queue_drained': 46, 'journal_write_attempted': 47, 'journal_durably_acknowledged': 47, 'journal_unresolved': 0, 'confirmed_byte_offset': 71882, 'confirmed_chain': '1ff2505c55bc545baee2a4bc31313b3bab6777b0897015de64717ab94360167b', 'total_upstream': None, 'lost': None}
manifest {'received': 46, 'accepted': 46, 'write_attempted': 46, 'durably_acknowledged': 46, 'rejected': 0, 'unresolved': 0, 'queue_pending': 0, 'queue_drained': 46, 'journal_write_attempted': 47, 'journal_durably_acknowledged': 47, 'journal_unresolved': 0, 'confirmed_byte_offset': 71882, 'confirmed_chain': '897c9abb1d206f0821fb7fe28eae85f9951dd5aa0e4046235c9ca7e9972cd3d1', 'total_upstream': None, 'lost': None}
report {'received': 24, 'accepted': 23, 'write_attempted': 23, 'durably_acknowledged': 22, 'rejected': 1, 'unresolved': 1, 'queue_pending': 0, 'queue_drained': 22, 'journal_write_attempted': 23, 'journal_durably_acknowledged': 22, 'journal_unresolved': 1, 'confirmed_byte_offset': 37175, 'confirmed_chain': '5b3dc3eb15eb665b0f0306c067ae4c765c7d376f813802fc69b29f393368e30c', 'total_upstream': None, 'lost': None}
race {'received': 24, 'accepted': 23, 'write_attempted': 23, 'durably_acknowledged': 22, 'rejected': 1, 'unresolved': 1, 'queue_pending': 0, 'queue_drained': 22, 'journal_write_attempted': 23, 'journal_durably_acknowledged': 22, 'journal_unresolved': 1, 'confirmed_byte_offset': 37175, 'confirmed_chain': 'e60cf774818ca5fd66082f87fb2f4e6c9a8ae8498377ea4d52d444fd4a3209ad', 'total_upstream': None, 'lost': None}
